Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Power,Seats,Price,Brand,Model
Kochi,2017,206.22075550244693,Petrol,Manual,First,20.4,81.8,5,1.6620303625532709,Maruti,Swift
Kolkata,2014,212.13203435596427,Diesel,Manual,First,22.1,74.0,5,0.9082585601768908,Chevrolet,Sail
Kolkata,2011,264.5751311064591,Diesel,Manual,First,12.8,102.0,8,1.791759469228055,Toyota,Innova
Mumbai,2009,303.31501776206204,Diesel,Manual,First,11.5,171.0,7,2.186051276738094,Toyota,Fortuner
Hyderabad,2012,239.07321054438535,Diesel,Automatic,Second,18.88,184.0,5,2.8903717578961645,Bmw,3 Series
Coimbatore,2016,230.67509618508888,Petrol,Manual,First,16.8,138.02,5,2.454447442303292,Skoda,Octavia
Kolkata,2019,282.842712474619,Diesel,Manual,First,11.5,171.0,7,2.196112848483529,Toyota,Fortuner
Bangalore,2009,272.02941017470886,Diesel,Automatic,First,15.5,105.0,5,1.6582280766035324,Volkswagen,Jetta
Kolkata,2011,192.35384061671346,Diesel,Manual,First,23.0,90.0,5,1.0818051703517284,Hyundai,I20
Mumbai,2013,252.98221281347034,Diesel,Manual,Second,21.02,88.76,5,0.9745596399981308,Tata,Manza
Pune,2013,239.1589429647154,Petrol,Manual,First,15.04,103.6,5,1.3862943611198906,Volkswagen,Vento
Chennai,2016,234.5207879911715,Diesel,Automatic,First,17.6,126.2,5,2.5257286443082556,Hyundai,Creta
Mumbai,2014,181.6590212458495,Petrol,Manual,First,21.1,85.8,5,1.1786549963416462,Maruti,Ritz
Delhi,2008,264.5751311064591,Petrol,Manual,First,13.1,141.1,5,1.3862943611198906,Honda,Cr-V
Delhi,2012,273.8612787525831,Diesel,Manual,Second,15.1,140.0,7,1.8325814637483102,Mahindra,Xuv500
Jaipur,2016,241.0290438930545,Diesel,Manual,First,21.66,108.62,5,1.7578579175523736,Volkswagen,Ameo
Kolkata,2015,86.28441342444185,Petrol,Manual,First,17.57,88.7,5,1.6094379124341003,Tata,Zest
Kochi,2016,132.860829441939,Diesel,Automatic,First,12.9,270.88,5,4.072950669534428,Jaguar,Xj
Kochi,2018,168.28844285927659,Petrol,Automatic,First,14.28,138.03,5,2.8616292890305104,Toyota,Corolla
Pune,2011,262.67851073127395,Petrol,Manual,Second,19.0,66.1,5,0.6678293725756554,Maruti,A-Star
Mumbai,2007,282.842712474619,Petrol,Automatic,First,11.1,142.0,5,1.0986122886681098,Honda,Accord
Delhi,2014,205.8275977608445,Petrol,Manual,First,17.0,80.0,5,1.7047480922384253,Hyundai,I20
Delhi,2013,350.71355833500365,Diesel,Automatic,First,12.55,168.5,7,2.803360380906535,Toyota,Fortuner
Mumbai,2011,200.0,Petrol,Automatic,Second,11.74,186.0,5,2.6741486494265287,Mercedes-Benz,New
Hyderabad,2016,173.5280957078709,Diesel,Manual,First,27.39,74.0,5,2.052840859882657,Maruti,Baleno
Kochi,2017,209.22475952907678,Diesel,Manual,First,20.77,88.76,7,2.1126345090356,Maruti,Ertiga
Kochi,2019,161.2854612170607,Diesel,Automatic,First,12.65,255.0,5,4.575432367724135,Land Rover,Rover
Mumbai,2012,236.64319132398464,Petrol,Manual,First,12.9,102.5,5,0.7654678421395714,Chevrolet,Optra
Hyderabad,2008,308.2207001484488,Petrol,Automatic,Second,12.9,130.0,5,1.0986122886681098,Honda,Civic
Coimbatore,2014,202.70421801235415,Diesel,Automatic,First,16.09,184.0,5,3.3600281046240843,Bmw,X3
Mumbai,2011,204.90973622549026,Diesel,Automatic,First,20.0,138.1,5,1.6956156086751528,Skoda,Laura
Delhi,2013,269.23224175421484,Diesel,Manual,First,23.4,74.0,5,1.3737155789130306,Maruti,Swift
Pune,2013,303.31501776206204,Diesel,Automatic,First,23.3,150.0,5,2.772588722239781,Volvo,V40
Delhi,2013,200.0,Petrol,Manual,First,17.5,85.8,5,1.4469189829363254,Maruti,Swift
Bangalore,2014,236.64319132398464,Diesel,Automatic,First,12.7,187.7,5,3.5409593240373143,Land Rover,Rover
Mumbai,2008,353.5533905932738,Petrol,Automatic,Third & Above,11.7,177.6,5,0.9555114450274363,Honda,Accord
Kochi,2017,170.9356604105767,Diesel,Manual,First,12.99,100.6,8,2.601207105484161,Toyota,Innova
Hyderabad,2018,199.81741665830833,Diesel,Manual,First,12.55,168.5,7,3.4688560301359703,Toyota,Fortuner
Kochi,2018,196.45101170520857,Petrol,Manual,First,18.7,88.7,5,1.8196988379172965,Honda,Jazz
Kolkata,2015,178.88543819998318,Petrol,Manual,First,17.0,118.0,5,1.7047480922384253,Honda,City
Hyderabad,2017,168.00595227550718,Diesel,Automatic,First,28.4,73.75,5,2.21375387928743,Maruti,Dzire
Pune,2014,308.2207001484488,Diesel,Manual,First,21.64,84.8,5,1.5040773967762742,Nissan,Sunny
Chennai,2014,440.45431091090484,Diesel,Manual,First,12.99,100.6,8,2.3513752571634776,Toyota,Innova
Coimbatore,2016,121.74152947946727,Petrol,Manual,First,19.4,86.8,5,1.6808279085207734,Honda,Brio
Bangalore,2012,228.0350850198276,Petrol,Manual,First,15.04,103.6,5,1.6956156086751528,Volkswagen,Vento
Mumbai,2016,181.6590212458495,Diesel,Manual,First,16.0,140.0,7,2.224623551524334,Mahindra,Xuv500
Chennai,2016,170.88007490635061,Diesel,Manual,First,23.0,98.96,5,2.0412203288596382,Ford,Ecosport
Hyderabad,2012,315.83856635946154,Diesel,Manual,First,17.72,108.49,5,2.0781907597781832,Skoda,Yeti
Chennai,2012,221.35943621178654,Petrol,Manual,First,20.36,78.9,5,1.0986122886681098,Hyundai,I10
Hyderabad,2005,547.1032809260058,Diesel,Manual,First,12.8,102.0,8,1.3862943611198906,Toyota,Innova
Coimbatore,2018,195.72940504686565,Diesel,Manual,First,20.65,88.7,5,1.900613874140137,Tata,Zest
Delhi,2014,236.64319132398464,Diesel,Manual,First,22.9,74.0,5,1.4469189829363254,Maruti,Swift
Kolkata,2017,176.91806012954132,Diesel,Automatic,First,21.72,108.4,5,2.3513752571634776,Skoda,Rapid
Coimbatore,2019,106.02358228243375,Diesel,Manual,First,13.68,147.8,8,3.1157350659486873,Toyota,Innova
Pune,2014,219.08902300206645,Petrol,Manual,Second,17.01,121.3,5,1.6486586255873816,Hyundai,Verna
Coimbatore,2019,154.53802121160993,Petrol,Manual,First,17.4,117.3,5,2.4740142086215764,Honda,City
Hyderabad,2014,254.95097567963924,Diesel,Manual,First,26.0,98.6,5,1.944480556245719,Honda,City
Jaipur,2011,223.60679774997897,Diesel,Manual,First,20.54,103.6,5,1.6094379124341003,Volkswagen,Vento
Chennai,2014,158.11388300841898,Diesel,Automatic,First,12.19,236.0,5,3.784189633918261,Audi,Q5
Chennai,2015,144.9137674618944,Petrol,Manual,First,22.74,47.3,5,1.0260415958332743,Maruti,Alto
Pune,2012,384.7076812334269,Diesel,Manual,Second,21.12,88.8,5,1.0647107369924282,Tata,Manza
Delhi,2016,260.76809620810593,Petrol,Manual,First,15.29,121.3,5,2.2874714551839976,Hyundai,Creta
Bangalore,2014,228.0350850198276,Diesel,Automatic,First,12.0,224.0,7,3.8918202981106265,Mercedes-Benz,Gl-Class
Jaipur,2016,137.84048752090223,Diesel,Manual,First,16.55,105.0,6,2.224623551524334,Mahindra,Thar
Mumbai,2011,272.02941017470886,Diesel,Manual,Second,22.32,126.3,5,1.3217558399823195,Hyundai,Verna
Coimbatore,2017,174.0086204761132,Diesel,Manual,First,26.1,99.0,5,1.986503546020567,Ford,Aspire
Mumbai,2016,141.4213562373095,Diesel,Automatic,First,20.7,113.98,4,3.1570004211501135,Mini,Cooper
Hyderabad,2013,186.63868837944614,Petrol,Manual,First,14.0,35.0,5,0.9555114450274363,Maruti,Omni
Pune,2015,300.0,Diesel,Manual,Second,21.03,65.0,5,1.1314021114911006,Mahindra,Verito
Coimbatore,2016,196.79939024295783,Diesel,Automatic,First,14.21,203.0,5,3.4005304926744517,Mercedes-Benz,E-Class
Kochi,2016,239.5621005084068,Diesel,Manual,First,19.01,108.45,5,1.9065751436566365,Renault,Duster
Kolkata,2016,316.22776601683796,Diesel,Manual,First,23.4,74.0,5,1.252762968495368,Maruti,Swift
Kolkata,2011,223.60679774997897,Petrol,Manual,First,16.47,73.9,5,0.8544153281560676,Volkswagen,Polo
Coimbatore,2017,254.87447891069831,Diesel,Manual,First,16.0,140.0,7,2.7806808921371173,Mahindra,Xuv500
Coimbatore,2014,269.19323914244205,Petrol,Manual,First,16.47,74.0,5,1.7749523509116738,Volkswagen,Polo
Hyderabad,2012,262.25178741049604,Petrol,Manual,First,21.1,85.8,5,1.3609765531356006,Maruti,Ritz
Delhi,2012,260.76809620810593,Diesel,Manual,First,12.8,102.0,7,1.9387416595767009,Toyota,Innova
Delhi,2015,181.6590212458495,Diesel,Manual,First,26.0,98.6,5,1.9459101490553132,Honda,City
Coimbatore,2017,149.62954253756175,Petrol,Manual,First,17.0,73.75,5,1.9782390361706734,Volkswagen,Ameo
Mumbai,2012,300.0,Diesel,Manual,First,21.5,88.8,5,1.3376291891386096,Maruti,Sx4
Chennai,2012,204.93901531919198,Petrol,Manual,Third & Above,18.6,85.8,5,1.5040773967762742,Maruti,Swift
Pune,2017,196.8933721586382,Diesel,Manual,First,19.67,126.2,5,2.533696813957432,Hyundai,Creta
Bangalore,2015,144.9137674618944,Diesel,Automatic,First,12.07,241.4,7,3.871201010907891,Audi,Q7
Coimbatore,2010,243.17894645713062,Petrol,Manual,First,19.7,46.3,5,1.085189268335969,Maruti,Alto
Kolkata,2014,189.73665961010275,Diesel,Manual,First,25.8,98.6,5,1.1786549963416462,Honda,Amaze
Chennai,2011,308.2207001484488,Diesel,Automatic,Second,18.33,167.7,5,2.1400661634962708,Volkswagen,Passat
Mumbai,2013,225.8317958127243,Diesel,Automatic,First,19.5,126.24,5,2.169053700369523,Hyundai,Elantra
Kochi,2011,190.81666593880107,Petrol,Manual,First,18.9,67.1,5,1.1249295969854831,Maruti,WagonR
Mumbai,2017,200.0,Diesel,Automatic,First,12.81,148.31,7,3.7256934272366524,Land Rover,Rover
Pune,2016,165.22711641858305,Petrol,Manual,First,17.8,117.3,5,1.9459101490553132,Honda,City
Kochi,2011,172.6644143997251,Petrol,Automatic,Second,14.74,181.03,5,2.4423470353692043,Mercedes-Benz,New
Pune,2011,266.45825188948453,Petrol,Manual,First,20.51,67.04,5,0.9555114450274363,Maruti,WagonR
Kolkata,2014,178.88543819998318,Diesel,Manual,First,22.32,126.3,5,1.4586150226995167,Hyundai,Verna
Mumbai,2017,138.68669727122352,CNG,Manual,First,17.5,80.46,7,2.122261538862764,Maruti,Ertiga
Jaipur,2017,224.74429914905517,Diesel,Automatic,First,17.06,141.0,5,3.214867803470662,Volkswagen,Tiguan
Pune,2011,319.37438845342626,Diesel,Automatic,First,15.06,177.0,5,2.6210388241125804,Bmw,X1
Kolkata,2014,205.6137154958297,Diesel,Manual,First,24.0,73.97,5,1.3480731482996928,Hyundai,Grand
Mumbai,2014,214.47610589527216,Diesel,Automatic,First,13.0,201.1,5,3.1463051320333655,Mercedes-Benz,E-Class
Bangalore,2015,223.60679774997897,Petrol,Manual,First,18.9,82.0,5,1.749199854809259,Hyundai,Grand
Mumbai,2008,248.99799195977465,Petrol,Manual,Second,20.36,78.9,5,0.5007752879124892,Hyundai,I10
Mumbai,2012,279.28480087537883,Diesel,Manual,First,19.33,138.1,5,1.8718021769015913,Volkswagen,Jetta
Chennai,2011,281.0693864511039,Diesel,Manual,First,17.67,138.08,5,2.0149030205422647,Skoda,Yeti
Kochi,2019,82.29823813423954,Diesel,Automatic,First,14.75,245.0,7,4.289637185380534,Audi,Q7
Chennai,2010,367.4234614174767,Diesel,Manual,Second,11.5,171.0,7,2.3978952727983707,Toyota,Fortuner
Kochi,2013,191.6141957162882,Petrol,Manual,First,18.9,67.0,5,1.1052568313867783,Maruti,WagonR
Coimbatore,2013,255.068618218706,Petrol,Manual,First,21.1,55.2,5,1.199964782928397,Hyundai,Eon
Delhi,2013,181.6590212458495,Petrol,Manual,First,19.4,86.8,5,1.1755733298042381,Honda,Brio
Kolkata,2015,105.40398474441088,Petrol,Manual,First,22.74,47.3,5,0.8544153281560676,Maruti,Alto
Jaipur,2013,250.99800796022265,Diesel,Manual,First,15.96,62.1,7,1.7047480922384253,Mahindra,Bolero
Mumbai,2015,164.4080290010193,Petrol,Manual,First,17.8,117.3,5,1.9095425048844386,Honda,City
Mumbai,2015,140.0,Petrol,Manual,First,15.0,103.52,5,1.8164520818184267,Skoda,Rapid
Pune,2016,166.59831931925365,Petrol,Manual,First,22.0,81.8,5,1.6956156086751528,Maruti,Swift
Hyderabad,2013,141.4213562373095,Petrol,Manual,Second,21.1,55.2,5,0.8329091229351039,Hyundai,Eon
Kochi,2015,157.4229970493511,Petrol,Manual,First,20.85,83.14,5,1.8261608959453874,Maruti,Swift
Coimbatore,2014,217.4925286073064,Petrol,Automatic,First,19.34,76.0,5,1.6505798557652755,Nissan,Micra
Delhi,2008,266.45825188948453,Petrol,Automatic,First,8.3,250.0,7,2.4840729690394228,Audi,Q7
Pune,2010,367.4234614174767,Diesel,Manual,First,17.8,75.0,5,1.1314021114911006,Maruti,Swift
Jaipur,2017,31.622776601683793,Diesel,Manual,First,13.49,138.03,5,2.0149030205422647,Tata,Xenon
Kolkata,2016,170.29386365926402,Diesel,Manual,First,20.14,88.8,5,1.3862943611198906,Volkswagen,Polo
Kochi,2016,190.70133717412682,Petrol,Manual,First,17.8,117.3,5,2.0451088625993306,Honda,City
Bangalore,2015,194.93588689617928,Petrol,Manual,First,17.4,117.3,5,2.0541237336955462,Honda,City
Hyderabad,2011,289.77404990785493,Petrol,Manual,First,16.1,37.0,4,0.26236426446749106,Maruti,800
Jaipur,2014,287.43868911473976,Diesel,Manual,First,20.14,88.8,5,1.4861396960896067,Volkswagen,Polo
Pune,2009,298.328677803526,Diesel,Automatic,First,12.5,147.9,7,1.3862943611198906,Chevrolet,Captiva
Kolkata,2016,232.379000772445,Diesel,Manual,First,16.0,140.0,7,2.5649493574615367,Mahindra,Xuv500
Kochi,2015,248.3767299889424,Diesel,Manual,First,25.8,98.6,5,1.682688374173693,Honda,Amaze
Chennai,2011,179.4435844492636,Petrol,Manual,Second,17.0,80.0,5,1.1786549963416462,Hyundai,I20
Jaipur,2016,261.97328108034225,Petrol,Automatic,First,20.51,67.0,5,1.3532545070416904,Maruti,WagonR
Mumbai,2014,246.9817807045694,Diesel,Automatic,Second,16.96,138.03,5,2.1102132003465894,Volkswagen,Jetta
Mumbai,2018,180.67650649710936,Petrol,Manual,First,20.73,91.1,5,2.2278615467981093,Maruti,Ciaz
Delhi,2012,291.547594742265,Diesel,Automatic,First,11.79,120.0,7,1.8325814637483102,Mahindra,Scorpio
Mumbai,2008,273.8612787525831,Petrol,Manual,Second,15.26,74.9,5,0.13976194237515863,Chevrolet,Aveo
Kochi,2016,200.8656267259284,Petrol,Manual,First,20.73,91.2,5,2.0541237336955462,Maruti,Ciaz
Hyderabad,2012,246.55222570481897,Diesel,Manual,First,23.0,90.0,5,1.5040773967762742,Hyundai,I20
Kochi,2018,136.61625086350452,Petrol,Manual,First,18.7,88.7,5,2.0228711901914416,Honda,Jazz
Coimbatore,2017,240.51403285463408,Diesel,Manual,First,16.0,140.0,7,2.77757626375082,Mahindra,Xuv500
Bangalore,2012,228.55415113272392,Petrol,Manual,First,17.0,80.0,5,1.5040773967762742,Hyundai,I20
Chennai,2012,357.77087639996637,Diesel,Manual,First,22.32,126.32,5,1.6094379124341003,Hyundai,Verna
Delhi,2011,232.379000772445,Petrol,Manual,First,19.81,68.05,5,0.7884573603642703,Hyundai,I10
Bangalore,2014,223.15913604421397,Petrol,Automatic,First,23.1,67.04,5,1.3862943611198906,Maruti,Celerio
Kolkata,2012,313.04951684997053,Diesel,Manual,First,20.86,73.9,5,0.9202827531436925,Skoda,Fabia
Delhi,2015,245.14281551781198,Diesel,Manual,First,25.2,74.0,5,1.55814461804655,Maruti,Swift
Pune,2008,260.76809620810593,Petrol,Manual,Second,16.0,66.7,5,0.6931471805599453,Hyundai,I10
Jaipur,2010,285.3103573303991,Petrol,Manual,Second,20.36,78.9,5,0.7419373447293773,Hyundai,I10
Mumbai,2013,194.93588689617928,Petrol,Automatic,First,16.5,110.0,5,1.8325814637483102,Ford,Ecosport
Kochi,2011,303.70874205396194,Diesel,Automatic,Second,11.5,210.0,5,2.3608540011180215,Mercedes-Benz,E-Class
Ahmedabad,2017,221.86482371029436,Diesel,Manual,First,25.2,74.0,5,1.791759469228055,Maruti,Swift
Jaipur,2004,109.54451150103323,Petrol,Manual,Second,16.1,37.0,4,-0.7985076962177716,Maruti,800
Pune,2010,234.30322234233142,Petrol,Manual,Third & Above,16.1,88.2,5,0.9162907318741551,Maruti,Swift
Mumbai,2018,50.0,Petrol,Manual,First,15.29,121.3,5,2.545531271604435,Hyundai,Creta
Kochi,2017,181.21258234460433,Diesel,Automatic,First,17.05,190.0,5,3.410817625039146,Bmw,X1
Hyderabad,2006,164.54786537661315,Petrol,Manual,First,13.8,70.0,5,0.47000362924573563,Ford,Ikon
Kochi,2017,274.6725322998279,Diesel,Manual,First,22.7,89.84,5,2.020222182019865,Ford,Ecosport
Kochi,2015,215.87264764207623,Petrol,Manual,First,20.73,91.1,5,1.922787731634459,Maruti,Ciaz
Kolkata,2012,268.32815729997475,Diesel,Automatic,First,18.33,167.7,5,1.791759469228055,Volkswagen,Passat
Pune,2017,164.31676725154983,Diesel,Manual,First,27.3,98.6,5,2.0794415416798357,Honda,Jazz
Coimbatore,2016,261.13789460742765,Diesel,Automatic,First,17.11,174.33,5,3.208421366964342,Audi,A4
Kochi,2017,185.5505322007997,Diesel,Manual,First,24.0,70.0,5,1.7047480922384253,Hyundai,Grand
Delhi,2013,214.47610589527216,Diesel,Automatic,First,12.0,224.0,7,3.58351893845611,Mercedes-Benz,Gl-Class
Coimbatore,2013,283.8027484010682,Diesel,Manual,First,12.99,100.6,7,2.4672517145492794,Toyota,Innova
Jaipur,2011,204.93901531919198,Petrol,Manual,Second,16.95,97.7,5,1.0986122886681098,Nissan,Sunny
Bangalore,2011,307.93018689306837,Diesel,Automatic,Second,20.0,138.1,5,1.9095425048844386,Skoda,Laura
Jaipur,2006,316.22776601683796,Petrol,Manual,First,14.49,92.7,5,0.3364722366212129,Chevrolet,Aveo
Mumbai,2014,238.74672772626644,Diesel,Manual,First,24.2,98.6,7,1.749199854809259,Honda,Mobilio
Hyderabad,2010,282.6552670657315,Diesel,Manual,First,21.1,73.9,5,1.2237754316221157,Maruti,Ritz
Coimbatore,2011,211.53723076565032,Petrol,Manual,Second,16.47,73.9,5,1.5871923034867805,Volkswagen,Polo
Mumbai,2013,176.0681686165901,Petrol,Manual,First,13.24,102.5,5,1.599387576580599,Nissan,Terrano
Coimbatore,2013,246.1442666405212,Petrol,Automatic,Second,16.98,66.1,5,1.2499017362143359,Maruti,A-Star
Pune,2014,209.2175900826697,Petrol,Manual,First,17.0,118.0,5,1.8484548129046001,Honda,City
Coimbatore,2017,153.5447817413539,Petrol,Automatic,First,18.9,82.0,5,1.9572739077056285,Hyundai,Grand
Hyderabad,2017,63.245553203367585,Diesel,Automatic,First,13.6,177.0,5,3.6375861597263857,Jaguar,Xe
Kolkata,2012,248.99799195977465,Diesel,Manual,First,12.05,120.0,8,1.8325814637483102,Mahindra,Scorpio
Mumbai,2011,189.73665961010275,Petrol,Automatic,First,11.74,186.0,5,2.3174737054877963,Mercedes-Benz,New
Delhi,2014,282.842712474619,Petrol,Automatic,First,13.7,157.75,5,2.3749057545736716,Skoda,Superb
Pune,2012,370.1459171732143,Diesel,Automatic,First,18.1,147.9,4,1.536867219599265,Chevrolet,Cruze
Delhi,2010,246.98380513709802,Diesel,Manual,First,12.05,120.0,8,1.55814461804655,Mahindra,Scorpio
Coimbatore,2015,228.4534963619511,Petrol,Manual,First,17.1,121.3,5,2.0515563381903004,Hyundai,Verna
Hyderabad,2016,277.62564723022257,Diesel,Manual,First,23.0,90.0,5,1.9095425048844386,Hyundai,I20
Hyderabad,2008,236.64319132398464,Petrol,Automatic,First,16.4,78.0,5,1.095273387402595,Honda,City
Kolkata,2013,144.9137674618944,Petrol,Manual,First,20.36,78.9,5,0.8544153281560676,Hyundai,I10
Delhi,2013,299.0468190768797,Diesel,Manual,First,25.8,98.6,5,1.2947271675944,Honda,Amaze
Delhi,2012,213.6141381088808,Petrol,Manual,Second,22.5,67.04,5,1.007957920399979,Maruti,WagonR
Jaipur,2013,232.29076606701352,Petrol,Manual,First,19.4,86.8,5,1.252762968495368,Honda,Brio
Kochi,2014,236.22870274376058,Petrol,Manual,First,17.0,80.0,5,1.5602476682433286,Hyundai,I20
Kochi,2016,160.93166251549133,Petrol,Manual,First,15.04,103.2,5,1.824549292051046,Volkswagen,Vento
Pune,2008,286.35642126552705,Diesel,Manual,Second,18.7,66.0,5,0.8544153281560676,Skoda,Octavia
Mumbai,2014,228.0350850198276,Diesel,Automatic,First,13.0,204.0,5,3.1986731175506815,Mercedes-Benz,E-Class
Pune,2013,141.4213562373095,Petrol,Manual,First,13.24,102.57,5,1.791759469228055,Renault,Duster
Hyderabad,2017,178.4068384339569,Petrol,Manual,First,21.1,55.2,5,1.2947271675944,Hyundai,Eon
Coimbatore,2016,134.51393979807446,Petrol,Manual,Second,18.6,85.8,5,1.8341801851120072,Maruti,Swift
Mumbai,2015,109.38007131100254,Diesel,Automatic,First,13.22,241.4,5,3.4949912609485163,Audi,Q5
Coimbatore,2018,150.61208450851478,Petrol,Manual,First,18.6,81.83,5,2.0541237336955462,Hyundai,I20
Bangalore,2014,208.6168737183069,Petrol,Manual,First,19.4,86.8,5,1.4469189829363254,Honda,Brio
Kochi,2014,222.2296109882749,Petrol,Manual,First,17.5,85.8,5,1.5810384379124025,Maruti,Swift
Delhi,2017,110.67068265805538,Petrol,Manual,First,18.9,81.86,5,1.589235205116581,Hyundai,Grand
Coimbatore,2014,260.32863845531864,Diesel,Manual,First,11.68,112.0,8,1.9544450515051506,Mahindra,Xylo
Delhi,2015,244.9632625517549,Petrol,Automatic,First,17.21,189.0,4,1.5040773967762742,Volkswagen,Polo
Coimbatore,2011,220.50850323740352,Petrol,Manual,First,24.07,67.1,5,1.169381359556317,Maruti,Alto
Kolkata,2014,173.20508075688772,Diesel,Manual,First,22.07,73.9,5,1.1786549963416462,Volkswagen,Polo
Delhi,2016,285.6658887581785,Petrol,Manual,First,18.9,82.0,5,1.5107219394949427,Hyundai,Grand
Coimbatore,2017,180.67097165842662,Diesel,Automatic,First,14.84,170.0,5,3.549042508926137,Mercedes-Benz,New
Pune,2014,184.9324200890693,Petrol,Automatic,First,15.74,121.3,5,1.8718021769015913,Hyundai,Verna
Chennai,2010,268.70801997707474,Petrol,Manual,First,15.7,67.0,5,0.8109302162163288,Fiat,Punto
Pune,2011,395.40738485769333,Diesel,Manual,Second,12.99,100.0,8,2.0794415416798357,Toyota,Innova
Kochi,2017,217.61663539352867,Diesel,Automatic,First,18.49,100.0,7,2.124653884501384,Mahindra,Tuv
Coimbatore,2015,248.47132631352054,Diesel,Manual,First,20.14,88.8,5,1.6845453849209058,Volkswagen,Polo
Kochi,2018,180.51592727512994,Diesel,Automatic,First,22.48,190.0,5,3.6189933266497696,Bmw,5 Series
Coimbatore,2018,200.32224040280698,Diesel,Automatic,First,11.57,254.79,5,4.259859000699674,Mercedes-Benz,Gle
Mumbai,2012,225.8317958127243,Diesel,Automatic,First,11.74,254.8,5,3.1023420086122493,Mercedes-Benz,M-Class
Kochi,2018,101.94606417120771,Petrol,Manual,First,18.9,81.86,5,1.7967470107390942,Hyundai,Grand
Mumbai,2011,214.47610589527216,Petrol,Automatic,First,13.7,157.75,5,1.589235205116581,Skoda,Superb
Chennai,2013,144.9137674618944,Petrol,Automatic,First,16.95,78.9,5,1.3762440252663892,Hyundai,I10
Hyderabad,2011,336.989614083283,Diesel,Manual,First,23.0,90.0,5,1.5260563034950492,Hyundai,I20
Mumbai,2011,316.24357700987383,Diesel,Manual,Second,12.05,120.0,8,1.7047480922384253,Mahindra,Scorpio
Mumbai,2013,251.21106663521016,Petrol,Manual,First,19.4,86.8,5,1.1786549963416462,Honda,Brio
Jaipur,2017,241.8677324489565,Petrol,Manual,First,18.6,81.83,5,1.8325814637483102,Hyundai,I20
Pune,2007,300.0,Diesel,Manual,Third & Above,10.9,143.0,7,1.0986122886681098,Ford,Endeavour
Chennai,2011,329.0015197533288,Diesel,Manual,First,16.8,110.0,5,1.4469189829363254,Hyundai,Verna
Pune,2011,382.49182997810556,Diesel,Manual,First,11.5,171.0,7,2.505525936990736,Toyota,Fortuner
Pune,2011,250.88443554752456,Diesel,Automatic,Second,17.05,184.0,5,2.3933394562625097,Bmw,X1
Delhi,2013,254.95097567963924,Diesel,Automatic,First,12.55,168.5,7,2.803360380906535,Toyota,Fortuner
Pune,2018,41.23105625617661,Petrol,Automatic,First,19.0,88.76,5,2.0541237336955462,Honda,Amaze
Kochi,2013,186.27130750601393,Petrol,Manual,First,19.81,68.05,5,1.308332819650179,Hyundai,I10
Hyderabad,2012,240.8318915758459,Petrol,Manual,First,17.0,80.0,5,1.3862943611198906,Hyundai,I20
Mumbai,2015,180.27756377319946,Diesel,Automatic,First,19.59,187.74,5,3.2865344733420154,Bmw,3 Series
Coimbatore,2016,242.20033030530738,Diesel,Automatic,First,15.17,181.0,5,3.333275365176697,Audi,Q3
Kochi,2017,192.67589366602144,Petrol,Manual,First,20.4,81.8,5,1.6937790608678513,Maruti,Swift
Delhi,2017,209.76176963403032,Petrol,Automatic,First,21.4,83.1,5,1.824549292051046,Maruti,Baleno
Kolkata,2005,212.60291625469299,Petrol,Manual,First,13.2,94.0,5,-0.10536051565782628,Hyundai,Accent
Mumbai,2016,104.88088481701516,Petrol,Manual,First,18.5,85.8,5,1.3737155789130306,Maruti,Ritz
Pune,2011,254.95097567963924,Petrol,Manual,Second,26.0,35.0,4,-0.8209805520698302,Tata,Nano
Ahmedabad,2012,234.53144778472674,Diesel,Manual,First,20.0,68.0,5,1.0116009116784799,Ford,Figo
Hyderabad,2011,285.744641244591,Diesel,Automatic,First,18.33,167.7,5,2.0149030205422647,Volkswagen,Passat
Chennai,2010,400.0,Diesel,Manual,Second,19.0,93.0,5,0.9162907318741551,Fiat,Linea
Hyderabad,2015,411.0960958218893,Diesel,Manual,First,14.95,93.7,7,1.6094379124341003,Mahindra,Xylo
Hyderabad,2013,259.35111335793414,Petrol,Manual,First,18.9,67.1,5,1.2809338454620642,Maruti,WagonR
Kochi,2012,210.29265322402492,Petrol,Manual,First,17.6,88.7,5,1.3837912309017721,Toyota,Etios
Coimbatore,2015,191.93748982416125,Petrol,Manual,First,18.9,82.0,5,1.7298840655099674,Hyundai,Grand
Pune,2014,400.0,Diesel,Manual,First,12.99,100.0,8,2.4849066497880004,Toyota,Innova
Kolkata,2008,364.6916505762094,Diesel,Manual,First,16.8,62.0,5,-0.35667494393873245,Tata,Indica
Mumbai,2015,262.9125329838804,Diesel,Automatic,First,18.88,184.0,5,2.9444389791664403,Bmw,3 Series
Delhi,2017,194.93588689617928,Diesel,Automatic,First,10.91,197.0,7,3.4170707308184456,Ford,Endeavour
Mumbai,2017,74.16198487095663,Petrol,Manual,First,21.56,103.25,5,2.1041341542702074,Maruti,Ciaz
Kolkata,2015,31.63858403911275,Diesel,Manual,First,25.83,99.0,5,2.0215475632609334,Ford,Figo
Pune,2007,242.8991560298224,Petrol,Manual,Third & Above,15.26,74.9,5,-0.01005033585350145,Chevrolet,Aveo
Delhi,2011,279.7427389584938,Petrol,Automatic,First,16.8,118.0,5,1.423108334242607,Honda,City
